setup_time=12.188ms, keygen_time=1255.173ms, enc_time=251.792ms, dec_time=8.993ms
setup_time=12.932ms, keygen_time=1276.014ms, enc_time=244.402ms, dec_time=9.059ms
setup_time=11.835ms, keygen_time=1256.643ms, enc_time=244.453ms, dec_time=8.955ms
setup_time=11.883ms, keygen_time=1255.145ms, enc_time=244.769ms, dec_time=8.619ms
setup_time=12.104ms, keygen_time=1260.150ms, enc_time=243.532ms, dec_time=9.144ms
setup_time=12.362ms, keygen_time=1267.511ms, enc_time=244.805ms, dec_time=9.229ms
setup_time=11.972ms, keygen_time=1256.607ms, enc_time=245.045ms, dec_time=8.764ms
setup_time=12.907ms, keygen_time=1263.985ms, enc_time=244.611ms, dec_time=9.233ms
setup_time=11.697ms, keygen_time=1256.820ms, enc_time=244.706ms, dec_time=8.458ms
setup_time=16.045ms, keygen_time=1260.836ms, enc_time=248.986ms, dec_time=9.077ms
setup_time=12.278ms, keygen_time=1260.480ms, enc_time=244.267ms, dec_time=8.746ms
setup_time=12.230ms, keygen_time=1265.875ms, enc_time=245.438ms, dec_time=9.347ms
setup_time=12.832ms, keygen_time=1263.353ms, enc_time=243.488ms, dec_time=9.775ms
setup_time=12.270ms, keygen_time=1258.852ms, enc_time=246.102ms, dec_time=9.156ms
setup_time=12.752ms, keygen_time=1262.401ms, enc_time=243.144ms, dec_time=8.492ms
setup_time=12.704ms, keygen_time=1257.624ms, enc_time=245.653ms, dec_time=8.366ms
setup_time=12.411ms, keygen_time=1260.430ms, enc_time=244.423ms, dec_time=8.498ms
setup_time=12.521ms, keygen_time=1259.156ms, enc_time=245.324ms, dec_time=8.920ms
setup_time=12.323ms, keygen_time=1281.038ms, enc_time=246.770ms, dec_time=8.736ms
setup_time=12.982ms, keygen_time=1282.300ms, enc_time=251.563ms, dec_time=9.364ms
setup_time=12.869ms, keygen_time=1278.540ms, enc_time=247.013ms, dec_time=8.558ms
setup_time=13.178ms, keygen_time=1256.956ms, enc_time=241.708ms, dec_time=9.073ms
setup_time=13.056ms, keygen_time=1254.710ms, enc_time=244.634ms, dec_time=9.355ms
setup_time=11.771ms, keygen_time=1272.730ms, enc_time=245.379ms, dec_time=9.252ms
setup_time=13.075ms, keygen_time=1266.451ms, enc_time=246.763ms, dec_time=9.093ms
setup_time=11.581ms, keygen_time=1267.845ms, enc_time=243.911ms, dec_time=8.321ms
setup_time=11.536ms, keygen_time=1263.309ms, enc_time=247.393ms, dec_time=8.351ms
setup_time=12.893ms, keygen_time=1258.417ms, enc_time=245.836ms, dec_time=8.423ms
setup_time=12.761ms, keygen_time=1257.717ms, enc_time=244.792ms, dec_time=8.945ms
setup_time=12.118ms, keygen_time=1256.055ms, enc_time=245.435ms, dec_time=9.108ms
setup_time=11.301ms, keygen_time=1256.531ms, enc_time=244.418ms, dec_time=9.217ms
setup_time=10.754ms, keygen_time=1264.915ms, enc_time=245.788ms, dec_time=9.653ms
setup_time=12.529ms, keygen_time=1258.365ms, enc_time=246.880ms, dec_time=9.567ms
setup_time=11.942ms, keygen_time=1255.056ms, enc_time=241.819ms, dec_time=9.024ms
setup_time=11.972ms, keygen_time=1262.434ms, enc_time=243.964ms, dec_time=8.675ms
setup_time=12.827ms, keygen_time=1256.950ms, enc_time=243.551ms, dec_time=9.195ms
setup_time=13.063ms, keygen_time=1256.689ms, enc_time=242.371ms, dec_time=9.155ms
setup_time=11.497ms, keygen_time=1253.901ms, enc_time=243.248ms, dec_time=8.316ms
setup_time=12.150ms, keygen_time=1261.016ms, enc_time=245.270ms, dec_time=8.480ms
setup_time=11.659ms, keygen_time=1257.938ms, enc_time=244.463ms, dec_time=9.032ms
setup_time=11.606ms, keygen_time=1262.704ms, enc_time=243.415ms, dec_time=9.233ms
setup_time=10.843ms, keygen_time=1258.760ms, enc_time=244.644ms, dec_time=9.125ms
setup_time=11.858ms, keygen_time=1257.833ms, enc_time=248.402ms, dec_time=8.592ms
setup_time=12.308ms, keygen_time=1256.666ms, enc_time=246.441ms, dec_time=9.442ms
setup_time=11.663ms, keygen_time=1265.092ms, enc_time=243.405ms, dec_time=9.361ms
setup_time=13.057ms, keygen_time=1263.940ms, enc_time=244.624ms, dec_time=9.373ms
setup_time=12.228ms, keygen_time=1267.937ms, enc_time=246.021ms, dec_time=8.475ms
setup_time=12.714ms, keygen_time=1260.112ms, enc_time=245.376ms, dec_time=8.563ms
setup_time=11.397ms, keygen_time=1261.696ms, enc_time=245.461ms, dec_time=9.002ms
setup_time=12.005ms, keygen_time=1262.530ms, enc_time=244.639ms, dec_time=9.497ms
setup_time=12.668ms, keygen_time=1264.855ms, enc_time=242.983ms, dec_time=8.318ms
setup_time=13.333ms, keygen_time=1258.831ms, enc_time=243.926ms, dec_time=9.052ms
setup_time=12.137ms, keygen_time=1257.154ms, enc_time=244.638ms, dec_time=8.641ms
setup_time=14.040ms, keygen_time=1261.031ms, enc_time=245.879ms, dec_time=8.264ms
setup_time=12.976ms, keygen_time=1257.544ms, enc_time=243.496ms, dec_time=8.499ms
setup_time=11.860ms, keygen_time=1261.275ms, enc_time=245.063ms, dec_time=9.210ms
setup_time=13.538ms, keygen_time=1259.469ms, enc_time=244.190ms, dec_time=9.383ms
setup_time=11.728ms, keygen_time=1267.431ms, enc_time=245.646ms, dec_time=8.490ms
setup_time=12.218ms, keygen_time=1256.330ms, enc_time=243.692ms, dec_time=9.448ms
setup_time=11.229ms, keygen_time=1265.779ms, enc_time=242.608ms, dec_time=8.623ms
setup_time=13.568ms, keygen_time=1275.591ms, enc_time=251.787ms, dec_time=9.434ms
setup_time=12.873ms, keygen_time=1275.630ms, enc_time=255.834ms, dec_time=8.200ms
setup_time=12.978ms, keygen_time=1278.419ms, enc_time=244.742ms, dec_time=9.278ms
setup_time=11.552ms, keygen_time=1263.511ms, enc_time=244.309ms, dec_time=9.330ms
setup_time=11.530ms, keygen_time=1258.657ms, enc_time=246.259ms, dec_time=8.387ms
setup_time=12.263ms, keygen_time=1258.480ms, enc_time=243.622ms, dec_time=9.086ms
setup_time=11.948ms, keygen_time=1266.016ms, enc_time=243.264ms, dec_time=9.410ms
setup_time=12.209ms, keygen_time=1266.110ms, enc_time=246.708ms, dec_time=8.726ms
setup_time=13.196ms, keygen_time=1260.758ms, enc_time=252.630ms, dec_time=9.348ms
setup_time=11.425ms, keygen_time=1270.688ms, enc_time=245.700ms, dec_time=8.938ms
setup_time=12.021ms, keygen_time=1257.742ms, enc_time=244.904ms, dec_time=9.733ms
setup_time=11.990ms, keygen_time=1270.130ms, enc_time=245.250ms, dec_time=9.145ms
setup_time=13.400ms, keygen_time=1260.416ms, enc_time=244.798ms, dec_time=8.577ms
setup_time=12.159ms, keygen_time=1266.102ms, enc_time=244.696ms, dec_time=9.209ms
